pair,allowed,reason
0,True,ok
1,True,ok
2,True,ok
3,True,ok
4,True,ok
5,True,ok
6,True,ok
7,True,ok
8,True,ok
9,True,ok
10,True,ok
11,True,ok
12,True,ok
13,True,ok
14,True,ok
15,True,ok
16,True,ok
17,True,ok
18,True,ok
19,True,ok
20,True,ok
21,True,ok
22,True,ok
23,True,ok
24,True,ok
25,True,ok
26,True,ok
27,True,ok
28,True,ok
29,True,ok
30,True,ok
31,True,ok
32,True,ok
33,True,ok
34,True,ok
35,True,ok
36,True,ok
37,True,ok
38,True,ok
39,True,ok
40,True,ok
41,True,ok
42,True,ok
43,True,ok
44,True,ok
45,True,ok
46,True,ok
47,True,ok
48,True,ok
49,True,ok
50,True,ok
51,True,ok
52,True,ok
53,True,ok
54,True,ok
55,True,ok
56,True,ok
57,True,ok
58,True,ok
59,True,ok
60,True,ok
61,True,ok
62,True,ok
63,True,ok
64,True,ok
65,True,ok
66,True,ok
67,True,ok
68,True,ok
69,True,ok
70,True,ok
71,True,ok
72,True,ok
73,True,ok
74,True,ok
75,True,ok
76,True,ok
77,True,ok
78,True,ok
79,True,ok
80,True,ok
81,True,ok
82,True,ok
83,True,ok
84,True,ok
85,True,ok
86,True,ok
87,True,ok
88,True,ok
89,True,ok
90,True,ok
91,True,ok
92,True,ok
93,True,ok
94,True,ok
95,False,Abuse detected: systematic scraping pattern (51 unique pairs/hour). Key blocked.
