student_id,job_id,v1_match,v1_band,v2_match,v2_band,v1_deprecated
1,1,True,HIGH,True,HIGH,True
1,2,True,MEDIUM,True,MEDIUM,True
1,3,True,MEDIUM,True,MEDIUM,True
2,1,True,MEDIUM,True,MEDIUM,True
2,2,True,MEDIUM,True,MEDIUM,True
2,3,True,MEDIUM,True,MEDIUM,True
3,1,True,HIGH,True,MEDIUM,True
3,2,True,HIGH,True,MEDIUM,True
3,3,True,MEDIUM,True,MEDIUM,True
4,1,True,MEDIUM,False,LOW,True
4,2,True,MEDIUM,False,LOW,True
4,3,True,MEDIUM,False,LOW,True
5,1,True,MEDIUM,True,MEDIUM,True
5,2,True,MEDIUM,True,MEDIUM,True
5,3,True,MEDIUM,True,MEDIUM,True
