student_id,job_id,label,required_skills_count,skills_meeting_threshold
STU_0001,JD_0001,0,6,0
STU_0002,JD_0001,0,6,1
STU_0003,JD_0001,0,6,2
STU_0004,JD_0001,0,6,3
STU_0005,JD_0001,0,6,1
STU_0006,JD_0001,0,6,2
STU_0007,JD_0001,0,6,3
STU_0008,JD_0001,0,6,2
STU_0009,JD_0001,0,6,0
STU_0010,JD_0001,0,6,2
STU_0011,JD_0001,0,6,0
STU_0012,JD_0001,0,6,2
STU_0013,JD_0001,0,6,5
STU_0014,JD_0001,0,6,1
STU_0015,JD_0001,0,6,1
STU_0016,JD_0001,0,6,1
STU_0017,JD_0001,0,6,2
STU_0018,JD_0001,0,6,2
STU_0019,JD_0001,0,6,4
STU_0020,JD_0001,0,6,2
STU_0021,JD_0001,0,6,2
STU_0022,JD_0001,0,6,1
STU_0023,JD_0001,0,6,1
STU_0024,JD_0001,0,6,1
STU_0025,JD_0001,0,6,2
STU_0026,JD_0001,0,6,1
STU_0027,JD_0001,0,6,1
STU_0028,JD_0001,0,6,1
STU_0029,JD_0001,0,6,3
STU_0030,JD_0001,0,6,0
STU_0031,JD_0001,0,6,1
STU_0032,JD_0001,0,6,2
STU_0033,JD_0001,0,6,2
STU_0034,JD_0001,0,6,1
STU_0035,JD_0001,0,6,3
STU_0036,JD_0001,0,6,0
STU_0037,JD_0001,0,6,0
STU_0038,JD_0001,0,6,0
STU_0039,JD_0001,0,6,1
STU_0040,JD_0001,0,6,0
STU_0041,JD_0001,0,6,1
STU_0042,JD_0001,0,6,2
STU_0043,JD_0001,0,6,0
STU_0044,JD_0001,0,6,2
STU_0045,JD_0001,0,6,0
STU_0046,JD_0001,0,6,2
STU_0047,JD_0001,0,6,2
STU_0048,JD_0001,0,6,3
STU_0049,JD_0001,0,6,2
STU_0050,JD_0001,0,6,2
STU_0051,JD_0001,0,6,3
STU_0052,JD_0001,0,6,1
STU_0053,JD_0001,0,6,2
STU_0054,JD_0001,0,6,1
STU_0055,JD_0001,0,6,1
STU_0056,JD_0001,0,6,4
STU_0057,JD_0001,0,6,4
STU_0058,JD_0001,0,6,1
STU_0059,JD_0001,0,6,1
STU_0060,JD_0001,0,6,2
STU_0061,JD_0001,0,6,0
STU_0062,JD_0001,0,6,2
STU_0063,JD_0001,0,6,1
STU_0064,JD_0001,0,6,1
STU_0065,JD_0001,0,6,3
STU_0066,JD_0001,0,6,1
STU_0067,JD_0001,0,6,2
STU_0068,JD_0001,0,6,0
STU_0069,JD_0001,0,6,2
STU_0070,JD_0001,0,6,3
STU_0071,JD_0001,0,6,2
STU_0072,JD_0001,0,6,1
STU_0073,JD_0001,0,6,3
STU_0074,JD_0001,0,6,2
STU_0075,JD_0001,0,6,2
STU_0076,JD_0001,0,6,1
